,alfabank,date,gazprom,raiffeisen,rshb,sberbank,text,twitid,uralsib,vtb
1,0,1406224554,NULL,NULL,NULL,NULL,http://t.co/YEVHuvVGA1 Взять кредит тюмень альфа банк,492367586156630000,NULL,NULL
2,NULL,1406224691,NULL,NULL,NULL,NULL,Мнение о кредитной карте втб 24 http://t.co/SBJTcsqjCg,492368160923070000,NULL,0
3,NULL,1406224798,NULL,0,NULL,NULL,«Райффайзенбанк»: Снижение ключевой ставки ЦБ на заседании в эту пятницу очень маловероятно,492368608346260000,NULL,NULL
4,NULL,1406225412,NULL,NULL,NULL,0,Современное состояние кредитного поведения в россии сбербанк http://t.co/EXAX01uR0h,492371181946030000,NULL,NULL
5,NULL,1406226283,NULL,NULL,NULL,1,@sawik_shuster @YevhenS Главное чтоб банки СБЕР и ВТБ!!!,492374836564750000,NULL,1
6,NULL,1406226450,NULL,NULL,NULL,NULL,http://t.co/Qr6JbSVTxY Оформить краткосрочный кредит оао банк москвы,492375537080600000,NULL,NULL
7,NULL,1406226505,NULL,NULL,NULL,NULL,Самый выгодный автокредит в втб 24 http://t.co/CDJ5P40x7g,492375766907510000,NULL,1
8,NULL,1406226607,NULL,NULL,NULL,+-,Похоже завтра Сбербанк и ВТБ присоединяется к национальной неоплатной системе,492376193791190000,NULL,+-
9,NULL,1406226960,NULL,NULL,NULL,0,Кредит иногородним в москве сбербанк http://t.co/AVlmacmlSf,492377674535680000,NULL,NULL
10,NULL,1406226982,NULL,NULL,0,NULL,Кредитный калькулятор россельхозбанк чита http://t.co/EqtmPota1G,492377768232250000,NULL,NULL
11,NULL,1406227218,NULL,NULL,NULL,NULL,http://t.co/h6r6GdBe4H Легко можно получить денежный кредит ы втб 24 банке,492378757769220000,NULL,1
12,NULL,1406227218,NULL,-1,NULL,NULL,"ДЕЛО -  На 1 млрд грн ушел в минус Райффайзен Банк Аваль и была докапитализирована украинская ""дочка"" ВТБ",492378758372800000,NULL,0
13,0,1406227462,NULL,NULL,NULL,NULL,Део нексия в кредит в альфа банке http://t.co/4nBxtHbczE,492379779946260000,NULL,NULL
14,NULL,1406227462,NULL,NULL,0,NULL,Россельхозбанк кредит стань фермером http://t.co/a7LU5KQT15,492379780881590000,NULL,NULL
15,NULL,1406227585,NULL,NULL,NULL,NULL,http://t.co/CuNsxVhAb0 Банк втб взять кредит 40000,492380298458710000,NULL,0
16,NULL,1406228494,NULL,NULL,NULL,-1,@ShtirliZ_ @Zhukova_olga @winzard @tereshenkov обязательно про сбербанк напишите! Временами похлеще интернет магазинов финты выкручивает),492384109483000000,NULL,NULL
17,NULL,1406228524,NULL,NULL,NULL,0,Расчитать кредит сбер банк россии в москве http://t.co/oHrZJ3uFEe,492384237199580000,NULL,NULL
18,NULL,1406228524,0,NULL,NULL,NULL,Кредит в газпром банке тула http://t.co/jqt7NfDbma,492384237631570000,NULL,NULL
19,NULL,1406228544,NULL,NULL,NULL,0,Кредитный калькулятор сбербанк россии http://t.co/MGS8yMyXJA,492384320926260000,NULL,NULL
20,NULL,1406228795,NULL,NULL,NULL,-1,@Umka_75 @Alfarius2012 @igor_sechin втб и сбер точно. вопрос-блокировка операций или запрет на кредиты?,492385371649740000,NULL,-1
21,NULL,1406228880,NULL,NULL,0,NULL,http://t.co/Snn5WoPVcf Взять кредит строительство магазина россельхозбанк,492385727242850000,NULL,NULL
22,NULL,1406232599,NULL,NULL,NULL,NULL,Льготный период по кредитной карте втб 24 http://t.co/5O4yDMadhK,492401325649690000,NULL,0
23,NULL,1406257672,NULL,NULL,NULL,NULL,http://t.co/SqAiEPURl0 Казань банк втб 24 хочу взять кредит мне 20 лет,492506491879190000,NULL,0
24,NULL,1406257673,NULL,NULL,0,NULL,http://t.co/YtapffQchW Как взять кредит на развитие хозяйства россельхозбанк,492506495830200000,NULL,NULL
25,NULL,1406258046,NULL,NULL,NULL,NULL,Оао банк втб северо запад в спб автокредит http://t.co/G0Y5Y292P0,492508060754390000,NULL,0
26,NULL,1406258181,NULL,NULL,NULL,NULL,http://t.co/6sKsurs9OH Оформить заявку на кредит в банк уралсиб,492508625018310000,0,NULL
27,NULL,1406258263,0,NULL,NULL,NULL,http://t.co/v4cogwQQ1g Взять кредит в газпромбанке какие условия,492508970482160000,NULL,NULL
28,NULL,1406258476,-1,NULL,NULL,NULL,"Канада ввела санкции против Газпромбанка, ВЭБа, Новатэка и российских оборонных компаний",492509863486840000,NULL,NULL
29,0,1406258508,NULL,NULL,NULL,NULL,http://t.co/UYLSGYH8P6 Как взять денежный кредит в альфа банке,492509998220870000,NULL,NULL
30,NULL,1406258549,NULL,0,NULL,NULL,Заявление на потребительский кредит в райффайзенбанк http://t.co/spzDtvyRCH,492510171139410000,NULL,NULL
31,NULL,1406258630,NULL,NULL,NULL,0,http://t.co/c2r5fpTO6H Сбербанк кредит как получить,492510508420180000,NULL,NULL
