,label,strang_fact,text
0,0.0,,http://t.co/YEVHuvVGA1 Взять кредит тюмень альфа банк
1,0.0,,Мнение о кредитной карте втб 24 http://t.co/SBJTcsqjCg
2,0.0,,«Райффайзенбанк»: Снижение ключевой ставки ЦБ на заседании в эту пятницу очень маловероятно
3,0.0,,Современное состояние кредитного поведения в россии сбербанк http://t.co/EXAX01uR0h
4,1.0,a few labels,@sawik_shuster @YevhenS Главное чтоб банки СБЕР и ВТБ!!!
5,,label is None,http://t.co/Qr6JbSVTxY Оформить краткосрочный кредит оао банк москвы
6,1.0,,Самый выгодный автокредит в втб 24 http://t.co/CDJ5P40x7g
7,,label is None,Похоже завтра Сбербанк и ВТБ присоединяется к национальной неоплатной системе
8,0.0,,Кредит иногородним в москве сбербанк http://t.co/AVlmacmlSf
9,0.0,,Кредитный калькулятор россельхозбанк чита http://t.co/EqtmPota1G
10,1.0,,http://t.co/h6r6GdBe4H Легко можно получить денежный кредит ы втб 24 банке
11,-1.0,a few labels,"ДЕЛО -  На 1 млрд грн ушел в минус Райффайзен Банк Аваль и была докапитализирована украинская ""дочка"" ВТБ"
12,0.0,,Део нексия в кредит в альфа банке http://t.co/4nBxtHbczE
13,0.0,,Россельхозбанк кредит стань фермером http://t.co/a7LU5KQT15
14,0.0,,http://t.co/CuNsxVhAb0 Банк втб взять кредит 40000
15,-1.0,,@ShtirliZ_ @Zhukova_olga @winzard @tereshenkov обязательно про сбербанк напишите! Временами похлеще интернет магазинов финты выкручивает)
16,0.0,,Расчитать кредит сбер банк россии в москве http://t.co/oHrZJ3uFEe
17,0.0,,Кредит в газпром банке тула http://t.co/jqt7NfDbma
18,0.0,,Кредитный калькулятор сбербанк россии http://t.co/MGS8yMyXJA
19,-1.0,a few labels,@Umka_75 @Alfarius2012 @igor_sechin втб и сбер точно. вопрос-блокировка операций или запрет на кредиты?
20,0.0,,http://t.co/Snn5WoPVcf Взять кредит строительство магазина россельхозбанк
21,0.0,,Льготный период по кредитной карте втб 24 http://t.co/5O4yDMadhK
22,0.0,,http://t.co/SqAiEPURl0 Казань банк втб 24 хочу взять кредит мне 20 лет
23,0.0,,http://t.co/YtapffQchW Как взять кредит на развитие хозяйства россельхозбанк
24,0.0,,Оао банк втб северо запад в спб автокредит http://t.co/G0Y5Y292P0
25,0.0,,http://t.co/6sKsurs9OH Оформить заявку на кредит в банк уралсиб
26,0.0,,http://t.co/v4cogwQQ1g Взять кредит в газпромбанке какие условия
27,-1.0,,"Канада ввела санкции против Газпромбанка, ВЭБа, Новатэка и российских оборонных компаний"
28,0.0,,http://t.co/UYLSGYH8P6 Как взять денежный кредит в альфа банке
29,0.0,,Заявление на потребительский кредит в райффайзенбанк http://t.co/spzDtvyRCH
30,0.0,,http://t.co/c2r5fpTO6H Сбербанк кредит как получить
31,0.0,,Западно уральский сбербанк россии акция ипотечный кредит http://t.co/jEsbw6MGO2
32,0.0,,Банк втб 24 казань потребительский кредит http://t.co/lqXXCyMx2F
33,0.0,,http://t.co/qfYkNOXrQT Взять кредит сбербанк россии казань
34,0.0,,http://t.co/LNqdQ8s8pa Как оформить кредитную карту уралсиб банка в рб
35,0.0,,http://t.co/TxgTGAgqBL Взять кредит сбербанк онлайн
36,0.0,,Целевой кредит в россельхозбанке с поручителем http://t.co/mY8Ja0RYni
37,0.0,,170 лет сбербанк акции автокредит екатеринбург http://t.co/BfkRy9kBry
38,0.0,,руководство по программе сбербанк бизнес http://t.co/eW9lQ1bKx1 #бизнес #руководство
39,,label is None,Банк москвы даёт кредиты http://t.co/tf2WOLOYRk
40,0.0,,http://t.co/CbMNABPOqp Альфа банк взять кредит наличными
41,1.0,,Снижение процентной ставки по кредиту на недвижимость сбербанк http://t.co/MredO898wK
42,0.0,,Кредиты в россельхозбанке без посредников http://t.co/t5zdJbvd98
43,-1.0,a few labels,"RT @letokot: Если Сбер и ВТБ попали под санкции, будет жопа"
44,0.0,,http://t.co/JB7JqZMGkL Втб 24 зао взять кредит н новгороде кредиты
45,0.0,,Райффайзенбанк уфа кредит на снегоход полярис http://t.co/wIQo8tABTY
46,0.0,,http://t.co/14dY9LVVeV Взять кредит на технику в альфа банке
47,1.0,,"В наш сбербанк пришел американец и попросил сфоткаться с ним у банкомата ;D 
я ваще была в шоке и на фотке полюбому получилась смешная xD"
48,0.0,,http://t.co/XifphFemGQ Втб 24 банк взять кредит без справки о доходах
49,0.0,,Отсрочка платежа по кредиту россельхозбанк http://t.co/5EAnvWO5uN
50,0.0,,Заявление анкета на ипотечный кредит втб 24 http://t.co/6ADWm91x7i
51,-1.0,,"RT @360_tv_ru: #Канада ввела санкции против 10 оборонных и сырьевых компаний и банков #РФ. Среди них, в частности, ""#Газпромбанк"", ""#Внешэк…"
52,1.0,,"За первое полугодие 2014 года Сбербанк России выдал ипотечных кредитов на сумму более 402 млрд. рублей, что на 70% больше аналогичного пока"
53,0.0,,Условия частично досрочного погашения кредита в райффайзенбанке http://t.co/EzFc16VMis
54,0.0,,Расчет кредита наличными сбербанк http://t.co/i4lscIs9Q8
55,0.0,a few labels,Сравнить кредитные ставки в сбербанке газпромбанке ираффайзенбанке http://t.co/DJJAAjtgC1
56,0.0,,Бпс сбербанк депозиты кредиты http://t.co/ahmUA7Tb52
57,0.0,,Пенза сбербанк жилищный кредит http://t.co/NMFI9Aph9M
58,1.0,,Пресс-релиз банка: Сбербанк и «Трест Уралавтострой» заключили соглашение о сотрудничестве
59,0.0,,Документы для потребительского кредита в райффайзенбанке http://t.co/a4k2lYdySk
60,0.0,,Высчитывать проценты по кредиту сбербанк http://t.co/w9gsypw5S7
61,0.0,,Кредиты юридическим лицам банк втб 24 http://t.co/WmanyuVuBd
62,0.0,,Россельхозбанк кредит на развитие тепличного хозяйства http://t.co/q5b1M1iiMK
63,-1.0,,"@Irinka_Koluchka @banki_ru И одной из контор-мошенников составляет банк Сбербанк России под крыш ой правительства.
 http://t.co/aZQDCddf4A"
64,0.0,,Обслуживание кредитной карты альфа банка http://t.co/NTvNADbEPY
65,-1.0,,"@Pkawka91 @banki_ru Он не под крышой... походу, он сам крыша... Сбербанк используют, вопрос почему и кто позволяет.. http://t.co/PMSCp8mcQz"
66,0.0,,Кредитный калькулятор сбербанк украины http://t.co/JqD0an7yhZ
67,,label is None,http://t.co/a7Vjha8K8F Сбербанк не меняет привычек: теперь и в Интернете
68,1.0,,Россельхозбанк утвердил Программу развития региональной сети до 2020 года | http://t.co/zYNBxNTSag http://t.co/joYrLQpsAt
69,0.0,,Отказ от повышения налогов сохранит и даже ускорит рост ВВП РФ - Sberbank CIB
70,1.0,,Льготное кредитование на автомобили 2014 сбербанк http://t.co/WU0s8lMWQA
71,-1.0,,"Новые санкции США в отношении Внешэкономбанка (ВЭБ), Газпромбанка, ""Роснефти"" и НОВАТЭКа вызвали рост неопределенности и недоверия, что мож"
72,0.0,,Расчет потребительского кредита в россельхозбанке http://t.co/RWXlHdjCfb
73,0.0,,получение автокредита втб 24 без прописки в москве
74,0.0,,Проверка баланса на кредитной карте sberbank http://t.co/TgjIRfz5uy
75,0.0,,Кредиты в россельхозбанке в кабардино балкарии http://t.co/IDHiJuLnaG
76,0.0,,#СМИ Сбербанк поможет своему должнику построить Керченский мост: @dailysmi_net Глава Сбербанка Герман... http://t.co/A2S7sx7eRu #новости
77,-1.0,,"Если терминал по-прежнему не работает,то тогда через сбербанк онлайн придется"
78,0.0,,Туры в кредит альфа банк
79,0.0,,инструкция по инкассации денежных средств в сбербанк http://t.co/0NcY4oYTKD #по #сбербанк
80,0.0,,RT @omartynchik1: #Уралсиб Банк Сарапул Заявка На Кредит http://t.co/aG3nHZ2hgL
81,-1.0,,«Райффайзен Банк Аваль» за полгода получил 1 млрд гривень убытка
82,0.0,,Где получить кредит до 75 лет Кредиты для пенсионеров в ВТБ 24 в 60 65 70 лет в 2014 году http://t.co/H110iUaEeh
83,1.0,,Взять выгодный кредит онлайн в ВТБ 24 под залог квартиры или другой недвижимости  http://t.co/I85MOExXse
84,0.0,,"RT @ybobscufi23: Информация Банка России ""О деятельности Газпромбанка и Внешэкономбанка"""
85,1.0,,"Правлением ОАО «Россельхозбанк» утверждена Программа развития региональной сети Банка до 2020 года, призванная решить сразу несколько страт"
86,-1.0,,RT @yonchik1: Никогда не переводите деньги из #qiwi в #альфабанк это 5 !!! календарных дней минимум и потом еще поиск этих денег! #банки 21…
87,1.0,,Журнал Global Finance признал Сбербанк Онлайн лучшим розничным интернет-банком в России http://t.co/fEHyCTYaxj
88,1.0,,За полгода благодаря ипотеке от Россельхозбанка жилищные условия улучшили больше 300 красноярских семей. Филиал выдал на эти цели в общей с
89,1.0,,Журнал Global Finance признал Сбербанк Онлайн: По результатам проведенного исследования журнал Global Finance ... http://t.co/REkPVmc4NU
90,1.0,,@D_Babich сбер собираюсь открыть сегодня.
91,0.0,,"@sberbank Но и когда уже Вы созреете господа банкиры.
http://t.co/Fg88U95jHX"
92,-1.0,,"Раньше в Альфа банке такие красивые девочки работали, а щас какие-то забитые мыши"
93,0.0,,Сбербанк России намерен построить недвижимость во всей стране: В скором времени Сбербанк России намерен вложит... http://t.co/OjZPbKy9jE
94,0.0,,http://t.co/ftGJlXXHSi Взять кредит в втб 24 наличными
95,0.0,,http://t.co/I1DwWNVzmq Оформить заявку на кредит райффайзенбанк
96,-1.0,,Под санкции Канады попали Газпромбанк и ВЭБ http://t.co/oZApBp1mlj #klerk
97,-1.0,,"21 июля. FINMARKET.RU - Рост неопределенности и недоверия, вызванный новым раундом санкций США в отношении ВЭБа, Газпромбанка, ""Роснефти"" и"
98,0.0,,http://t.co/5hSweYuyvp Сбербанк взять кредит на машину
99,0.0,,#tlt Поволжский Сбербанк проведет семинар по брокерскому обслуживанию http://t.co/8wXNYcxdTZ #тлт
100,1.0,,В скором времени Сбербанк России намерен вложить энную сумму средств в строительство объектов недвижимости на всей территории страны. Общая
101,0.0,,http://t.co/bmta53xeAQ Взять кредит в альфа банке нижнего новгорода
102,0.0,,http://t.co/UMIXHReyDn Взять кредит в альфа банк в спб
103,1.0,,"Сотрудники Банка расскажут, как грамотно инвестировать в рынок ценных бумаг и получать от этого прибыль...
   
. Поволжский Сбербанк провед"
104,0.0,,http://t.co/7WPZr1EOTf Как взять кредит в альфа банке по интернету
105,0.0,,http://t.co/Zdw84BqjiK Взять кредит в россельхозбанке кемерово
106,1.0,,"RT @retucargo: Рейтинг стоимости брендов: Apple — лидер, две российские компании — Сбербанк и МТС вошли в топ-100"
107,0.0,,http://t.co/QnbTyIP11s Как взять кредит россельхозбанке
108,0.0,,Поволжский Сбербанк проведет семинар по брокерскому обслуживанию
109,-1.0,,@alfa_bank я всего лишь заменил сим карту (не номер) и теперь для разблокировки симкарты мне надо ехать в отделение Альфа-Банк.
110,0.0,,образец кредитного договора сбербанк россии http://t.co/80CoIwN5uw #россии #договора
111,0.0,,http://t.co/7Tc4rWqCRL Как взять кредит в россельхозбанк в марий эл
112,,label is None,Банк Москвы будет гореть в Аду. Я лично спущусь с Небес. Проверить.
113,0.0,,http://t.co/YcWLLigpKJ Получить небольшой кредит в райффайзен банке
114,0.0,,Я просто зашла в Альфа банк и увидела этот журнал )Мило
115,0.0,,http://t.co/37IIAbUqUW Со скольких лет можно взять кредит в альфа банке
116,,label is None,Банк Москвы отчитался о первых результатах в работе с региональными операторами: Банк Москвы одним из... http://t.co/luHGb3vSwW #novosti
117,0.0,,http://t.co/ao9XFCObMV Взять потребительский кредит в альфа банке за 30 мин
118,0.0,,http://t.co/GzJ4nIQnQ3 Взять кредит в альфа банке наличными
119,-1.0,,"Ограничительные меры затронут такие организации, как Газпромбанк, Внешэкономбанк, ""Калашников"", ""Конструкторское бюро приборостроения"", ""Но"
120,0.0,,http://t.co/wtPUUn9KMR Сбербанк россии как взять кредит на неотложные нужды
121,0.0,,http://t.co/smU2bT3v7V Как оформить кредит в россельхозбанк
122,1.0,,Сбербанк Онлайн лучший интернет-банк в России: Сбербанк Онлайн позволяет клиенту управлять сво... http://t.co/qqIISqRraP #Саратов
123,0.0,,http://t.co/fub3Pzo0H0 Взять кредит в оао россельхозбанк 800 т
124,0.0,,http://t.co/k1fLrnMJL9 Сбербанк россии взять кредит онега
125,1.0,,По результатам проведенного исследования журнал Global Finance признал Сбербанк Онлайн лучшим розничным интернет-банком в России в 2014 год
126,-1.0,,@alfa_bank раз уж на то пошло... Лентяи работающие с физиками.
127,0.0,,http://t.co/KoHCPzRAds Оформить кредитную карту сбербанк без справок
128,0.0,,http://t.co/ZGbpFevMZl Взять кредит наличными в втб 24 калькулятор
129,0.0,,http://t.co/eSqT2ncUP8 Взять кредит альфа банк город спасск дальний
130,0.0,,http://t.co/MnR6voJrK9 Сбербанк кредит хоть я не работаю могу взять или нет
