,label,strang_fact,text
0,0.0,,"@mkomov Максим, Вашем письмо мы получили. Наши сотрудники свяжутся с Вами завтра и направят запрос инженерам для проверки. #билайн"
1,0.0,,«Мегафон» стал владельцем 50% акций «Евросети»
2,-1.0,,"RT @fuckkiev: “@EvaKobb: МТС Россия прислала жителям Херсонщины сообщения, в которых обозвала украинцев фашистами? http://t.co/RbSesXlOUZ” …"
3,1.0,,ВИДЕО: http://t.co/PSMLAhR4fI Реклама со смехом МТС - Супер 0
4,-1.0,,"@parfenov1960 потому что МТС достало, а пчел ненавижу с детства, как и их мёд!"
5,,label is None,"@parfenov1960 у меня давно ""Мегафон"", Леонид, но вам не западло?"
6,-1.0,,RT @f_u_c_k_y_o_u_: Билайн интернет стал полным говном
7,0.0,,На Дне города в Тюмени «МегаФон» разыграет смартфон за лучшее селфи
8,0.0,,"&amp;laquo;Ростелеком&amp;raquo; стал партнером всероссийского конкурса &amp;laquo;Поколение i&amp;raquo; на создание лучшего интернет-проекта для детей, о"
9,0.0,,RT @parfenov1960: Сотовый оператор Мегафон проводит конкурс с розыгрышем 50 iPhone 5s. Для участия нужно... http://t.co/8SZYFgjtMe
10,1.0,,«МегаФон» поможет контролировать расходы на Интернет за границей
11,-1.0,,"@parfenov1960 Фуфло эт ваш Мегафон.просит много,дает мало."
12,0.0,,"@vinylanarchist Ну давай ты позвонишь как будешь в парке, а я подойду
или наоборот
у тя мтс ?"
13,0.0,,"За 7 месяцев Tele2 провела 90 городских мероприятий, в которых участвовали 85 тыс. человек"
14,0.0,,"@Beeline_RUS То есть новый номер только в офисе и из тех, что есть в офисе? Заранее никак?"
15,-1.0,,"Вот если и хаять сеть, то МТС! Просто адский оператор какой-то!"
16,-1.0,,"RT @51evgen: @EvaKobb давайте откажемся от МТС,у меня 4 номера Я ГОТОВ!"
17,0.0,,"«Ростелеком» традиционно выступил партнером XIV Международного праздника Огурца в Суздале. Мероприятие, участниками которого стали более 14"
18,1.0,,"УрБК, Екатеринбург, 22.07.2014. ОАО «МегаФон» стало предоставлять услуги сверхскоростной мобильной связи 4G+ еще в 14 населенных пунктах Св"
19,1.0,,«МегаФон» представил новую возможность сэкономить в роуминге
20,-1.0,,@imerkouri враньё! #Мегафон ГЭ! Проверено!
21,0.0,,"RT @parfenov1960: Подписаться на мой аккаунт, сделать ретвит данного сообщения и сказать, почему Вы выбираете Мегафон. Желаю удачи. http://…"
22,0.0,,@maxbeylis @korobkov другим бизнесменам помогали ! МТС при продаже ГИ Каримова должна било предлогат с начало Государство . Как стратегик
23,0.0,,Билайн ставрополь справка http://t.co/9R3xJ6DqzV
24,-1.0,,"Что объединяет #МТС и #МГТС ? Нет,не то, что они в одной группе компаний,а одинаково низкое качество услуг и поддержки"
25,0.0,,"@Grajdansky @megafonru @lexandrGurkin мы не можем работать бесплатно, а @rus_fas нас не накажет. Ведь мы ввели платные услуги по блок.спама"
26,0.0,,"Леонид Парфенов снялся в рекламе планшетного интернета от ""Мегафон"" | АБН | Агентство Бизнес Новостей http://t.co/FTisq1k15d"
27,0.0,,"@Beeline_RUS Забавно. Сообщает минуты и трафик,смс не сообщает (но смс меня не интересует). Спасибо."
28,-1.0,,"#Траффик на Билайне уходит неумолимо :(
#Билайн #Москва http://t.co/KGRzUG10xO"
29,-1.0,,"RT @owihycady: Новая реклама от пчелайна: - ""Просто пополняйте счет, и говорите бесплатно!"". Я один вижу здесь какой-то подвох?"
30,0.0,,МТС проведет экскурсию дополненной реальности во Львове
31,0.0,,#RT МТС приглашает на экскурсию по местам боевой славы Донецка
32,-1.0,,"@ru_mts вот утомили вы своей хитрожопостью, но пока альтернативы в местности нет, буду Вас заебывать."
33,0.0,,Мегафон рассказал о правилах путешествия с телефоном - Тюменская линия
34,0.0,,«Ростелеком» стал партнером всероссийского конкурса «Поколение I»
35,0.0,,МТС ввел звонок из роуминга за счет вызываемого абонента
36,0.0,,МТС и Opera представили магазин мобильных приложений App Market
37,,label is None,"@John_H_Barboza вай фай наверно еще, не?)) а мне на мтс не хватало, там лимит на день маловат, я дополнительно тратила на добавку))"
38,0.0,,Мегафон e173 скачать прошивку http://t.co/22yRZHrRlv
39,0.0,,Мегафон тверь справка http://t.co/EthMLtzIZo
40,1.0,,Завтра может у меня будет и Домашнее Цифровое ТВ МТС #RT
41,1.0,,"@Beeline_RUS ребят, касательно вашего чудесного Мой Билайн.app для iPhone. А можно его сделать ещё чуточку чудеснее?) http://t.co/MgNY0TdPpt"
42,0.0,,Настройка ммс на iphone 5 теле2 http://t.co/KMUGNUvJ1d
43,1.0,,@Tselyanov @diden05 @redcom_internet Им и пользуюсь сейчас! Спасибо @MegaFonDVpr !
44,-1.0,,"Завтра придется идти в Мегафон, а то я что-то не разберу"
45,0.0,,"@Beeline_RUS здравствуйте! У меня есть идея по поводу тарифа. А также хочу направить вам резюме. Не подскажете адреса, куда можно направить?"
46,0.0,,"Рынки больших городов насыщены, а программа цифровизации «Ростелекомом» малых населенных пунктов еще не началась"
47,0.0,,инструкция настройки роутера keenetic 4g мтс сотовый оператор http://t.co/yb0e28EJS2 #4g
48,1.0,,"завтра хочу сделать фотку с Сашей из мтс ,реально !! уу,Женя меня убьет))"
49,-1.0,,"Интернет в Тунке глючит, правда. #Мегафон тоже сволочной оператор."
50,1.0,,"Возможность быть ""онлайн"" - специфика работы требует - очень радует (теперь ещё вафай-переносной-модем куплю мегафоновский и вообще в"
51,1.0,,"RT @_Beeline_kz: Сегодня День Системного Администратора! =) С праздником, друзья! http://t.co/KiDNwq11ht"
