,beeline,date,komstar,megafon,mts,rostelecom,skylink,tele2,text,twitid
1,0,1406224555,NULL,NULL,NULL,NULL,NULL,NULL,"@mkomov Максим, Вашем письмо мы получили. Наши сотрудники свяжутся с Вами завтра и направят запрос инженерам для проверки. #билайн",492367588165680000
2,NULL,1406224999,NULL,0,NULL,NULL,NULL,NULL,«Мегафон» стал владельцем 50% акций «Евросети»,492369449912380000
3,NULL,1406225062,NULL,NULL,-1,NULL,NULL,NULL,"RT @fuckkiev: “@EvaKobb: МТС Россия прислала жителям Херсонщины сообщения, в которых обозвала украинцев фашистами? http://t.co/RbSesXlOUZ” …",492369715378290000
4,NULL,1406225092,NULL,NULL,1,NULL,NULL,NULL,ВИДЕО: http://t.co/PSMLAhR4fI Реклама со смехом МТС - Супер 0,492369842205650000
5,NULL,1406225445,NULL,NULL,-1,NULL,NULL,NULL,"@parfenov1960 потому что МТС достало, а пчел ненавижу с детства, как и их мёд!",492371322060950000
6,NULL,1406225478,NULL,--,NULL,NULL,NULL,NULL,"@parfenov1960 у меня давно ""Мегафон"", Леонид, но вам не западло?",492371458703000000
7,-1,1406225511,NULL,NULL,NULL,NULL,NULL,NULL,RT @f_u_c_k_y_o_u_: Билайн интернет стал полным говном,492371599145070000
8,NULL,1406225717,NULL,0,NULL,NULL,NULL,NULL,На Дне города в Тюмени «МегаФон» разыграет смартфон за лучшее селфи,492372463314300000
9,NULL,1406225739,NULL,NULL,NULL,0,NULL,NULL,"&amp;laquo;Ростелеком&amp;raquo; стал партнером всероссийского конкурса &amp;laquo;Поколение i&amp;raquo; на создание лучшего интернет-проекта для детей, о",492372556402660000
10,NULL,1406225808,NULL,0,NULL,NULL,NULL,NULL,RT @parfenov1960: Сотовый оператор Мегафон проводит конкурс с розыгрышем 50 iPhone 5s. Для участия нужно... http://t.co/8SZYFgjtMe,492372843519550000
11,NULL,1406225853,NULL,1,NULL,NULL,NULL,NULL,«МегаФон» поможет контролировать расходы на Интернет за границей,492373034649790000
12,NULL,1406226011,NULL,-1,NULL,NULL,NULL,NULL,"@parfenov1960 Фуфло эт ваш Мегафон.просит много,дает мало.",492373693491070000
13,NULL,1406226055,NULL,NULL,0,NULL,NULL,NULL,"@vinylanarchist Ну давай ты позвонишь как будешь в парке, а я подойду
или наоборот
у тя мтс ?",492373878036260000
14,NULL,1406226311,NULL,NULL,NULL,NULL,NULL,0,"За 7 месяцев Tele2 провела 90 городских мероприятий, в которых участвовали 85 тыс. человек",492374952361070000
15,0,1406226539,NULL,NULL,NULL,NULL,NULL,NULL,"@Beeline_RUS То есть новый номер только в офисе и из тех, что есть в офисе? Заранее никак?",492375910902150000
16,NULL,1406226561,NULL,NULL,-1,NULL,NULL,NULL,"Вот если и хаять сеть, то МТС! Просто адский оператор какой-то!",492376000995810000
17,NULL,1406226750,NULL,NULL,-1,NULL,NULL,NULL,"RT @51evgen: @EvaKobb давайте откажемся от МТС,у меня 4 номера Я ГОТОВ!",492376795195670000
18,NULL,1406226806,NULL,NULL,NULL,0,NULL,NULL,"«Ростелеком» традиционно выступил партнером XIV Международного праздника Огурца в Суздале. Мероприятие, участниками которого стали более 14",492377030475120000
19,NULL,1406226905,NULL,1,NULL,NULL,NULL,NULL,"УрБК, Екатеринбург, 22.07.2014. ОАО «МегаФон» стало предоставлять услуги сверхскоростной мобильной связи 4G+ еще в 14 населенных пунктах Св",492377444981440000
20,NULL,1406227165,NULL,1,NULL,NULL,NULL,NULL,«МегаФон» представил новую возможность сэкономить в роуминге,492378534107970000
21,NULL,1406227553,NULL,-1,NULL,NULL,NULL,NULL,@imerkouri враньё! #Мегафон ГЭ! Проверено!,492380161422430000
22,NULL,1406227630,NULL,0,NULL,NULL,NULL,NULL,"RT @parfenov1960: Подписаться на мой аккаунт, сделать ретвит данного сообщения и сказать, почему Вы выбираете Мегафон. Желаю удачи. http://…",492380485944120000
23,NULL,1406227972,NULL,NULL,0,NULL,NULL,NULL,@maxbeylis @korobkov другим бизнесменам помогали ! МТС при продаже ГИ Каримова должна било предлогат с начало Государство . Как стратегик,492381921348170000
24,0,1406228099,NULL,NULL,NULL,NULL,NULL,NULL,Билайн ставрополь справка http://t.co/9R3xJ6DqzV,492382452493480000
